transaction_id,customer_id,amount,currency,timestamp,timezone,status,product_category
TXN-00001,CUST-1696,697.04,CAD,2024-01-23T18:26:45,Australia/Sydney,completed,beauty
TXN-00002,CUST-8076,506.87,USD,2024-03-20T20:46:37,Europe/Paris,failed,clothing
TXN-00003,CUST-3171,32.21,AUD,01/27/24 10:20 PM,,completed,home
TXN-00004,CUST-1530,633.4,EUR,2024-03-15 23:49:34,UTC,failed,books
TXN-00005,CUST-5109,212.56,CAD,2024-03-22T08:44:22Z,Europe/London,pending,books
TXN-00006,CUST-1929,602.44,CAD,03/27/24 02:19 PM,Europe/Paris,failed,beauty
TXN-00007,CUST-7974,589.29,EUR,2024-02-08T04:40:20,Australia/Sydney,pending,toys
TXN-00008,CUST-1874,472.59,USD,01/17/24 06:48 PM,UTC,completed,toys
TXN-00009,CUST-6929,433.1,GBP,2024-02-16 08:55:23,Europe/Paris,completed,books
TXN-00010,CUST-5704,69.26,JPY,2024-02-16 08:55:28,America/New_York,failed,clothing
TXN-00011,CUST-9289,640.16,USD,2024-03-17T06:07:56,,pending,books
TXN-00012,CUST-7153,120.41,AUD,2024-03-19 18:57:44,Asia/Tokyo,completed,home
TXN-00013,CUST-3494,619.31,JPY,2024-03-29T01:09:26Z,Asia/Tokyo,pending,beauty
TXN-00014,CUST-2155,576.39,GBP,2024-03-19T23:42:12,Europe/Paris,failed,toys
TXN-00015,CUST-9836,680.03,CAD,2024-01-13 05:40:59,Australia/Sydney,failed,electronics
TXN-00016,CUST-6523,675.42,EUR,2024-02-23T23:20:52,UTC,pending,clothing
TXN-00017,CUST-6754,706.36,EUR,02/05/24 11:23 AM,UTC,failed,clothing
TXN-00018,CUST-8769,461.96,USD,03/17/24 06:56 PM,Asia/Tokyo,completed,books
TXN-00019,CUST-3774,228.16,JPY,2024-03-24 11:09:15,America/New_York,pending,electronics
TXN-00020,CUST-1388,32.22,AUD,2024-03-27T22:44:18,Asia/Tokyo,failed,home
TXN-00021,CUST-2315,519.69,GBP,2024-02-08T04:31:28,Europe/Paris,failed,toys
TXN-00022,CUST-4978,955.51,GBP,26-Feb-2024 01:21,Europe/London,completed,clothing
TXN-00023,CUST-9785,660.3,EUR,2024-02-24T06:40:21,Asia/Tokyo,pending,home
TXN-00024,CUST-3381,780.78,AUD,2024-02-13T22:28:39Z,America/Los_Angeles,failed,electronics
TXN-00025,CUST-9844,570.43,JPY,2024-03-19T03:35:39Z,Europe/London,failed,toys
TXN-00026,CUST-6689,20.38,AUD,13-Feb-2024 11:44,Asia/Tokyo,pending,clothing
TXN-00027,CUST-1198,185.49,JPY,01/13/24 02:56 PM,Europe/London,completed,clothing
TXN-00028,CUST-7049,787.32,EUR,2024-03-23T00:40:18Z,America/Los_Angeles,completed,clothing
TXN-00029,CUST-6967,925.63,EUR,27-Jan-2024 01:50,America/Los_Angeles,completed,sports
TXN-00030,CUST-9881,945.95,AUD,2024-01-05 09:23:18,Australia/Sydney,pending,clothing
TXN-00031,CUST-8675,71.29,AUD,2024-03-27 17:29:28,America/New_York,pending,electronics
TXN-00032,CUST-3766,499.26,CAD,01/25/24 05:24 PM,Asia/Tokyo,pending,sports
TXN-00033,CUST-4356,378.1,AUD,05-Feb-2024 05:00,America/Los_Angeles,failed,sports
TXN-00034,CUST-7436,180.22,AUD,2024-02-12T16:51:43Z,,pending,home
TXN-00035,CUST-7331,199.88,AUD,31-Jan-2024 01:34,Australia/Sydney,pending,electronics
TXN-00036,CUST-4456,939.17,USD,2024-03-15T17:18:41Z,America/New_York,failed,sports
TXN-00037,CUST-7307,947.79,USD,01/22/24 05:03 AM,America/New_York,completed,electronics
TXN-00038,CUST-8697,376.32,EUR,2024-02-25T07:36:44Z,America/New_York,pending,beauty
TXN-00039,CUST-6501,789.05,JPY,2024-03-05T13:05:05Z,America/Los_Angeles,pending,toys
TXN-00040,CUST-4702,934.07,CAD,21-Mar-2024 12:21,America/New_York,failed,sports
TXN-00041,CUST-8237,500.02,AUD,20-Jan-2024 19:33,America/Los_Angeles,failed,beauty
TXN-00042,CUST-5717,426.84,AUD,2024-02-13 12:01:27,Australia/Sydney,completed,books
TXN-00043,CUST-6296,586.23,GBP,01/08/24 04:32 PM,America/Los_Angeles,failed,sports
TXN-00044,CUST-7767,597.78,USD,2024-03-26T19:02:52,Europe/London,completed,books
TXN-00045,CUST-8802,708.09,AUD,12-Mar-2024 08:08,Europe/Paris,failed,electronics
TXN-00046,CUST-1620,644.59,USD,2024-02-16 10:03:24,America/Los_Angeles,pending,clothing
TXN-00047,CUST-7619,426.4,USD,2024-02-29T14:48:18Z,Europe/Paris,failed,clothing
TXN-00048,CUST-6002,36.27,JPY,2024-02-08T05:50:44,America/Los_Angeles,failed,beauty
TXN-00049,CUST-9529,928.0,JPY,01/31/24 07:47 PM,America/New_York,failed,clothing
TXN-00050,CUST-4238,992.83,EUR,21-Feb-2024 11:37,America/Los_Angeles,pending,home
TXN-00051,CUST-5564,58.44,GBP,22-Mar-2024 03:22,America/Los_Angeles,pending,sports
TXN-00052,CUST-1288,154.42,JPY,2024-03-11 15:02:24,America/Los_Angeles,failed,electronics
TXN-00053,CUST-8750,37.39,CAD,2024-02-18T20:09:52Z,America/Los_Angeles,completed,electronics
TXN-00054,CUST-7917,857.61,AUD,01/26/24 07:08 PM,Europe/Paris,pending,beauty
TXN-00055,CUST-8015,127.95,EUR,2024-01-11T20:02:04Z,,completed,sports
TXN-00056,CUST-7622,475.39,GBP,2024-02-12T01:36:30,Europe/Paris,pending,books
TXN-00057,CUST-3457,793.41,EUR,02/25/24 04:45 AM,UTC,pending,toys
TXN-00058,CUST-6731,832.1,USD,2024-01-15 08:11:01,America/New_York,completed,electronics
TXN-00059,CUST-6719,418.34,EUR,2024-03-01T09:31:41Z,UTC,pending,beauty
TXN-00060,CUST-8300,357.57,USD,2024-01-20T22:11:33Z,Europe/Paris,completed,home
TXN-00061,CUST-9545,717.2,JPY,2024-01-17T10:10:54Z,America/Los_Angeles,pending,home
TXN-00062,CUST-8483,850.51,CAD,2024-02-29T09:13:44,America/Los_Angeles,completed,books
TXN-00063,CUST-4560,660.62,EUR,2024-03-29T11:01:43,America/Los_Angeles,pending,beauty
TXN-00064,CUST-3428,404.12,JPY,13-Jan-2024 02:19,Europe/Paris,pending,books
TXN-00065,CUST-2783,372.94,CAD,03/22/24 09:05 PM,Australia/Sydney,pending,books
TXN-00066,CUST-1744,146.85,GBP,2024-01-19 19:40:59,America/Los_Angeles,completed,sports
TXN-00067,CUST-3610,740.91,GBP,2024-03-05T09:52:48,Australia/Sydney,pending,clothing
TXN-00068,CUST-3243,391.05,EUR,2024-02-01 02:39:44,Europe/Paris,pending,books
TXN-00069,CUST-2893,127.6,EUR,12-Mar-2024 08:36,UTC,pending,beauty
TXN-00070,CUST-9467,927.79,GBP,2024-02-26T08:16:55,Asia/Tokyo,failed,home
TXN-00071,CUST-6092,791.33,GBP,2024-01-15 13:06:55,Australia/Sydney,failed,sports
TXN-00072,CUST-6430,493.19,JPY,02/17/24 01:57 PM,Europe/London,failed,books
TXN-00073,CUST-7009,426.84,GBP,2024-03-29T15:52:10,Europe/London,completed,electronics
TXN-00074,CUST-8892,224.18,CAD,01/16/24 05:03 AM,Australia/Sydney,pending,home
TXN-00075,CUST-4349,653.54,EUR,03/02/24 05:36 AM,Europe/Paris,pending,clothing
TXN-00076,CUST-2402,49.27,EUR,2024-01-01T05:54:07Z,Australia/Sydney,failed,home
TXN-00077,CUST-8782,639.4,JPY,2024-01-31 22:26:51,Australia/Sydney,completed,sports
TXN-00078,CUST-8740,275.11,USD,2024-03-12 16:24:04,Europe/London,pending,sports
TXN-00079,CUST-3632,517.77,EUR,03-Feb-2024 23:26,UTC,failed,clothing
TXN-00080,CUST-7367,193.31,AUD,2024-03-01 21:35:09,UTC,failed,books
TXN-00081,CUST-8319,594.6,USD,2024-02-03T19:31:06Z,America/New_York,pending,books
TXN-00082,CUST-6615,916.74,CAD,01/09/24 07:07 PM,UTC,pending,clothing
TXN-00083,CUST-9007,534.88,AUD,28-Feb-2024 07:38,,pending,beauty
TXN-00084,CUST-6008,398.34,JPY,2024-02-12T13:36:13Z,,failed,electronics
TXN-00085,CUST-2510,661.04,AUD,2024-03-14 20:43:25,America/New_York,pending,books
TXN-00086,CUST-2546,386.24,AUD,03/13/24 02:40 PM,,pending,clothing
TXN-00087,CUST-9903,198.62,JPY,2024-03-08T00:53:47Z,Australia/Sydney,completed,clothing
TXN-00088,CUST-3847,811.37,CAD,2024-02-28T09:13:08,Australia/Sydney,completed,home
TXN-00089,CUST-2553,921.67,JPY,2024-02-01T03:00:42Z,Europe/Paris,completed,toys
TXN-00090,CUST-9835,333.29,AUD,2024-01-14T18:21:18,UTC,failed,beauty
TXN-00091,CUST-7365,924.76,EUR,25-Mar-2024 17:07,UTC,completed,clothing
TXN-00092,CUST-9429,515.21,GBP,2024-02-07T20:20:12Z,America/Los_Angeles,completed,electronics
TXN-00093,CUST-4640,587.59,USD,2024-03-29T21:30:01Z,Australia/Sydney,failed,toys
TXN-00094,CUST-7682,897.38,JPY,2024-03-29T06:17:51Z,Australia/Sydney,completed,clothing
TXN-00095,CUST-3319,424.59,AUD,07-Jan-2024 04:02,Europe/London,pending,sports
TXN-00096,CUST-9364,858.31,JPY,27-Mar-2024 12:42,,pending,electronics
TXN-00097,CUST-3832,770.16,USD,02/26/24 10:00 PM,UTC,failed,books
TXN-00098,CUST-5779,971.84,USD,2024-01-16T07:54:42,Europe/London,failed,electronics
TXN-00099,CUST-7370,192.35,EUR,04-Jan-2024 11:41,Europe/Paris,pending,books
TXN-00100,CUST-4935,728.43,CAD,2024-03-01 06:19:23,America/New_York,failed,books
TXN-00101,CUST-1419,493.83,AUD,2024-03-27 16:12:09,America/New_York,completed,sports
TXN-00102,CUST-5157,840.7,USD,02-Feb-2024 04:59,Asia/Tokyo,pending,clothing
TXN-00103,CUST-8108,104.73,JPY,08-Jan-2024 06:15,Europe/London,failed,beauty
TXN-00104,CUST-4943,123.21,AUD,2024-02-17T18:37:33,America/New_York,pending,clothing
TXN-00105,CUST-5541,240.71,GBP,2024-01-28 14:57:23,America/New_York,completed,toys
TXN-00106,CUST-6107,670.58,CAD,2024-03-18T01:45:52,Asia/Tokyo,pending,beauty
TXN-00107,CUST-8740,803.74,JPY,2024-03-18 01:45:54,Asia/Tokyo,pending,clothing
TXN-00108,CUST-5887,493.27,JPY,01-Feb-2024 20:33,America/Los_Angeles,failed,toys
